wavelenght,0J,100J
761,-0.00166,0.00075
760,-0.00192,0.00019
759,-0.00235,0.00028
758,-0.00158,0.00058
757,-0.00205,0.00028
756,-0.00205,0.0005
755,-0.00139,0.00063
754,-0.00182,0.00053
753,-0.00149,0.00012
752,-0.00212,-0.00021
751,-0.00152,0.00027
750,-0.00158,0.00058
749,-0.0016,0.0001
748,-0.00171,0.00012
747,-0.0014,0.00027
746,-0.00119,-0.0002
745,-0.00138,-0.00017
744,-0.00139,-0.00135
743,-0.00182,-0.00089
742,-0.00147,-0.00135
741,-0.0015,-0.00186
740,-0.00146,-0.00207
739,-0.00141,-0.00185
738,-0.00123,-0.00225
737,-0.00156,-0.00197
736,-0.00137,-0.00168
735,-0.00097,-0.00111
734,-0.00142,-0.00126
733,-0.00164,-0.00143
732,-0.00157,-0.00059
731,-0.00152,-0.00049
730,-0.00125,-0.00058
729,-0.00134,-0.00037
728,-0.00155,-0.00022
727,-0.00106,-0.00064
726,-0.00133,-0.00046
725,-0.00108,-0.00043
724,-0.00155,-0.00051
723,-0.00158,-0.001
722,-0.00196,-0.00071
721,-0.00108,-0.00053
720,-0.00144,-0.00067
719,-0.00146,-0.00085
718,-0.00121,-0.00052
717,-0.00149,-0.00066
716,-0.00103,-0.0005
715,-0.00141,-0.00108
714,-0.00106,-0.00098
713,-0.00099,-0.00065
712,-0.001,-0.00108
711,-0.00118,-0.00085
710,-0.00114,-0.00098
709,-0.00126,-0.00115
708,-0.0009,-0.00117
707,-0.00126,-0.00113
706,-0.0013,-0.00122
705,-0.00111,-0.00041
704,-0.00094,-0.0006
703,-0.00125,-0.00054
702,-0.00138,-0.0006
701,-0.00088,-0.0006
700,-0.00053,-0.00032
699,-0.00095,-0.00024
698,-0.00079,-0.00023
697,-0.00063,0.00027
696,-0.00076,0.00027
695,-0.00089,0.0003
694,-0.00065,0.00069
693,-0.00059,0.00112
692,-0.00066,0.001
691,-0.00076,0.00117
690,-0.00075,0.00198
689,-0.00045,0.00248
688,-0.00075,0.00255
687,-0.00073,0.00327
686,-0.00024,0.00448
685,-0.00022,0.00523
684,-0.00088,0.00557
683,-0.00053,0.00713
682,-0.00057,0.00856
681,-0.00046,0.01019
680,-0.00046,0.01243
679,-0.00057,0.01457
678,-0.00048,0.01745
677,-0.00074,0.01999
676,-0.00058,0.02332
675,-0.00029,0.02686
674,-0.0001,0.03
673,-0.0003,0.03344
672,-0.00013,0.03656
671,0.00003,0.03949
670,-0.0003,0.04068
669,0.00005,0.04237
668,-0.00003,0.04304
667,0.00014,0.04293
666,-0.00012,0.04131
665,-0.00003,0.03975
664,0.00015,0.03754
663,0.00069,0.0349
662,0.00046,0.0323
661,0.00055,0.02959
660,0.00064,0.02664
659,0.00081,0.02427
